model,transformation,train_time_seconds,train_pred_time_seconds,test_pred_time_seconds,inference_energy_per_sample_joules,n_train_samples,n_test_samples,n_features,train_r2,train_rmse,train_mae,train_mape,train_max_error,train_median_ae,train_explained_var,train_residual_mean,train_residual_std,train_residual_skewness,train_residual_kurtosis,test_r2,test_rmse,test_mae,test_mape,test_max_error,test_median_ae,test_explained_var,test_residual_mean,test_residual_std,test_residual_skewness,test_residual_kurtosis,train_adj_r2,test_adj_r2,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_min,cv_r2_max,train_test_r2_gap,train_test_rmse_ratio
CatBoost,sqrt,0.44966983795166016,0.008384466171264648,0.006985664367675781,0.017639,6686,1672,33,0.6721104836927665,0.6571151357129116,0.11391493666396686,108.54477091146535,21.757065236668765,0.02939577280657366,0.6721129505282715,0.001802385979387601,0.6571126638467557,18.67169657272655,554.6245570512248,0.42022524433272723,0.9312270279634928,0.14874846955129464,110.38495159937467,25.550213651883222,0.030955200288808687,0.4203527222825105,0.01380840310385909,0.9311246455837376,15.714091203290387,426.7789465053813,0.6704838519973157,0.40854480053723274,0.5629295747882713,0.05769434150899382,0.7542003683436821,0.139859002616572,0.126082012357453,0.008182550338051193,0.4829875998463592,0.6555772402487909,0.25188523936003926,1.417144389485839
XGBoost,raw,0.2597510814666748,0.00803375244140625,0.003717184066772461,0.0979978,6686,1672,33,0.42797333981939545,14.473572499969325,1.6822694730257446,195.95193071762657,684.2621563544153,0.21215776491344293,0.4279742537476311,0.018294630959115495,14.47356093773562,32.41205227652244,1305.7089170831496,-0.050078945759677085,20.009802949851984,2.2488427847347214,195.09820981512698,655.6301913905147,0.22939150928820146,-0.04999204963126447,0.18202542344976436,20.00897500715924,21.676531550774904,747.1620334501007,0.42513556474634073,-0.071234382395861,-0.023109562341067424,0.2623253839830026,17.658407935198287,4.762851480439675,1.9927129314986485,0.32420614194588526,-0.5461209410044996,0.1402923530247132,0.47805228557907253,1.3825061469624131
Gradient Boosting,raw,0.8879847526550293,0.021659135818481445,0.007288455963134766,0.0196898,6686,1672,33,0.3687228550695252,15.204692412409925,1.863007162958793,195.82573367285164,686.3722399000599,0.3638432507171139,0.368722916622899,-0.004747812246275568,15.20469167113476,31.9403417775139,1218.6241685601562,0.02841027674656016,19.247454102069515,2.283668009952882,195.00702736019858,654.2300210665486,0.39243464586259813,0.028499095386747664,0.18402799579057302,19.246574321370492,25.60127821640978,843.579095829701,0.36559114343652666,0.008836124812882762,0.07650493138524805,0.08273319436805197,17.265921728493527,5.266370252254278,2.1205541101748433,0.2440155460533127,-0.08082973079558053,0.15541119442574847,0.340312578322965,1.2658890808099044
Random Forest,raw,0.4679245948791504,0.06794953346252441,0.05755734443664551,0.23641299999999998,6686,1672,33,0.20933817752962924,17.016216023599497,1.3657394869486543,175.269872562286,686.8406077338518,0.014342938284123828,0.209338463566626,-0.0102347846805607,17.016212945628848,32.216579664648854,1155.0506095911746,0.08080965988288502,18.721237905922052,1.6305279633394323,175.71825854694148,653.9226184703416,0.017084874323518993,0.08091925255667709,0.20441962996521415,18.720121830399968,28.491018884052774,936.2677000142443,0.20541577221671248,0.062291173177228765,0.18588664790392928,0.12642937479785993,16.749818616864037,6.048234754778519,1.4421908372870844,0.26656857544097795,0.08216602245121041,0.4330328221996972,0.12852851764674422,1.1001998258512864
Extra Trees,raw,0.33658576011657715,0.06765985488891602,0.0565037727355957,0.2635124,6686,1672,33,0.17503540960270414,17.381420235008378,1.5297938344383497,189.72308031629666,699.8440252288219,0.1562096360808643,0.17503542749764478,-0.0025599573898349723,17.38142004649151,32.72226303497353,1169.7933704826326,0.09363729103787322,18.59014815027778,1.801549414885287,188.7443616803015,653.9129634937834,0.16852810779343724,0.09367666539257091,0.12252890744207338,18.58974434778804,29.063387384243722,960.2913269368838,0.17094283120776865,0.07537723646171324,0.1962853365138277,0.16058845924236853,16.726794019182982,6.235463818134082,1.5974178289627494,0.3129566986335108,0.0818751928473227,0.5147515460263306,0.08139811856483092,1.0695413780243297
KNN,raw,0.006601095199584961,0.07399678230285645,0.029616117477416992,0.017749,6686,1672,33,0.15384619231004149,17.60322590344,1.3859158302949162,105.00333777162776,682.3927491147008,0.0007815557895873356,0.15389945029523378,-0.1396561200005392,17.602671910130212,30.759160565092376,1088.3319933346754,0.06752670382583037,18.856020347462312,1.7951307471156583,108.51970128823763,653.9927950466245,0.0008555792819065558,0.06757880689802886,-0.1409494878861189,18.855493538642186,27.42132752623867,905.2616004022412,0.1496484960301604,0.04874061177836542,0.1489288908563326,0.12237083178332175,17.08605251306068,6.07668044255833,1.455055740650414,0.4040011547402678,0.026201145360659095,0.38216302902780375,0.08631948848421112,1.0711684580307737
Ridge,raw,0.011381149291992188,0.005879640579223633,0.004152774810791016,0.011022800000000001,6686,1672,33,0.04653511695726342,18.686155427637534,3.7458615281004177,196.13036273753187,730.0217508783468,2.0839035762810263,0.046535116957263534,-2.7205943816121096e-16,18.686155427637534,29.661541938142506,1014.9073331817631,-0.004140431966207281,19.56721710214609,4.08566739224669,194.9547074961758,667.6308382384433,2.1588840048532365,-0.004132635130367435,-0.05452441712499213,19.567141135343594,26.576659041904055,846.9873666452128,0.04180505966014825,-0.02437036740874987,0.053620522810166917,0.05266244207672234,17.823488739518385,5.942978825310772,3.7960058832677555,0.27315163793915365,0.001847322169875154,0.1545488637189517,0.050675548923470703,1.0471505055074475
Bayesian Ridge,raw,0.10998010635375977,0.007647991180419922,0.00597381591796875,0.0191528,6686,1672,33,0.04421046474962109,18.708921010469787,3.5843053808052976,196.0448632230462,732.2849182414076,1.9815194122339514,0.0442104647496212,-2.7205943816121096e-16,18.708921010469787,29.756428313047234,1017.9696969634879,0.0026393250130205548,19.50104823931321,3.8761687203187423,194.87590583738273,665.4198582349547,2.0817805912282803,0.0026407006366847563,0.02290243480451002,19.501034790761768,26.661010062215222,848.0139861851245,0.039468875052798724,-0.017454021918951623,0.05536846777270634,0.05359509314248908,17.817579799345573,5.96954852688611,3.5816203562847795,0.2669407112841217,0.010518081621691766,0.16064316678162716,0.04157113973660054,1.0423395463744758
AdaBoost,raw,0.6846377849578857,0.02056717872619629,0.008526086807250977,0.03468,6686,1672,33,-1.2781043950445845,28.883805825808597,3.7506402234807337,176.6393230435579,536.5810237177698,0.03777107556939341,-1.2561323140139664,-2.836633331936801,28.744177676934157,-4.038286259480898,96.67098195484024,-1.646502297463229,31.76639809003014,4.20028406034833,175.5040544089659,653.9351205223792,0.037771435294058756,-1.6284750851184722,-2.6217792600886902,31.658021434158506,1.1768847762072074,149.77306761007895,-1.2894058750560804,-1.6998201093168839,-4.064662531649409,5.714735370301506,30.548991329763,3.4922786832860835,3.5888293534968625,0.8824930031136433,-15.433633534219577,-0.42046457017162164,0.36839790241864456,1.0997995998690684
Decision Tree,raw,0.041506052017211914,0.003460407257080078,0.002087116241455078,0.013769400000000001,6686,1672,33,0.19245844420859415,17.19689525013102,1.3566187917608241,171.59835538328406,682.2921329837756,0.023049907602538944,0.19245844420859426,1.785390062932947e-16,17.19689525013102,29.7816783267337,1048.077063456908,0.029976511673832418,19.231934076971086,1.716124702771932,170.2534453887316,653.9859358599712,0.02305641567910957,0.030007454818372414,0.1086210656979041,19.23162733117113,26.16949337812855,842.3029316024048,0.18845229999014612,0.010433913923671545,0.07490059269230029,0.02202869046056424,17.488614700132654,5.594151959641065,1.4316811181215043,0.26818114780967955,0.048637945643749236,0.09873513347642615,0.16248193253476173,1.1183375718191182
