feature_name,feature_type,train_mean,train_std,train_min,train_max,train_missing
block_Try_x_feature_program_volume,engineered,0.043684211649701606,1.6529501227853796,0.0,97.67226489021296,0
block_Try_x_feature_total_nodes,engineered,0.039186359557283876,1.3681784304217606,0.0,76.0,0
block_While_x_feature_program_effort,engineered,5.382302374199347,191.0147660031323,0.0,10907.974451510954,0
block_While_x_feature_program_volume,engineered,0.5956842475300043,13.608150183991025,0.0,750.9112847054641,0
block_While_x_feature_total_nodes,engineered,0.38229135507029616,8.164289713228692,0.0,445.0,0
block_With_x_feature_program_effort,engineered,0.009037794696379612,0.5424318832642177,0.0,38.633460955078185,0
block_With_x_feature_program_volume,engineered,0.05454297856947419,1.5191912851735525,0.0,89.85848369899593,0
block_With_x_feature_total_nodes,engineered,0.0529464552796889,1.2673482439342745,0.0,53.0,0
chars_per_line,original,22.492903009375247,7.128543023215355,5.666666666666667,79.0,0
code_density,original,9.025980334358204,4.084655516002955,3.1753979320439725,33.32149340374671,0
